side,event_day,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,stop_fraction,notional,underlying_return,net_account_contribution,exit_reason,ambiguous_bar_loss_first
long,2022-05-28,2022-05-29 00:01:00,2022-05-31 05:18:00,1791.08,1974.13,1701.1,1971.04,0.05023784532237534,0.09952656145810178,0.10220090671550142,0.010072178261835978,target,False
long,2022-06-12,2022-06-13 00:01:00,2022-06-13 08:48:00,1521.08,1423.16,1423.0,1717.2399999999998,0.06448050069687324,0.07754282218597068,-0.0643753122781181,-0.005069386215334418,stop,False
long,2022-06-14,2022-06-15 00:01:00,2022-06-15 16:04:00,1244.88,1067.39,1073.9,1586.8400000000001,0.13734657155709787,0.03640425780793075,-0.14257599126020182,-0.0052267774008655996,stop,False
long,2022-06-15,2022-06-16 00:01:00,2022-06-18 14:54:00,1116.68,1010.56,1013.0,1324.0400000000002,0.09284665257728271,0.05385223765432096,-0.0950317011140166,-0.00517152199074074,stop,False
long,2022-06-19,2022-06-20 00:01:00,2022-06-27 00:01:00,1066.99,1221.07,878.73,1443.51,0.17644026654420378,0.028338202485923725,0.14440622686248217,0.004063874694571334,time,False
short,2022-07-16,2022-07-17 00:01:00,2022-07-17 00:06:00,1277.7,1289.38,1290.38,1252.34,0.009924082335446555,0.3,-0.009141425999843467,-0.00304242779995304,stop,False
short,2022-07-22,2022-07-23 00:01:00,2022-07-25 06:42:00,1572.09,1653.91,1647.0,1422.2699999999998,0.0476499437055131,0.10493191830196223,-0.052045366359432466,-0.005566152049125623,stop,False
short,2022-07-25,2022-07-26 00:01:00,2022-07-28 10:48:00,1526.15,1673.34,1665.0,1248.4500000000003,0.09098057202765121,0.05495678790061222,-0.09644530354159153,-0.005355280878646022,stop,False
short,2022-07-29,2022-07-30 00:01:00,2022-08-02 10:34:00,1721.1,1586.1,1785.98,1591.3399999999997,0.03769682180001169,0.13263717632552383,0.07843820812271218,0.010271185265104787,target,False
short,2022-08-08,2022-08-09 00:01:00,2022-08-09 21:57:00,1776.82,1692.14,1820.72,1689.0199999999998,0.02470706092907559,0.20237129840546655,0.04765817584223486,0.009442275626423642,target,False
short,2022-08-14,2022-08-15 00:01:00,2022-08-15 16:17:00,1982.02,1882.07,2031.54,1882.98,0.024984611658812717,0.2001231825525041,0.050428350874360484,0.00989175888529887,target,False
long,2022-08-21,2022-08-22 00:01:00,2022-08-27 07:13:00,1622.83,1532.72,1522.7,1823.0899999999997,0.06170085591220269,0.08103615300109866,-0.05552645686855673,-0.004580686607410367,stop,False
long,2022-08-28,2022-08-29 00:01:00,2022-08-29 07:26:00,1490.25,1447.94,1445.26,1580.23,0.030189565509142768,0.16562013780840185,-0.028391209528602523,-0.004867776172482763,stop,False
long,2022-08-29,2022-08-30 00:01:00,2022-09-06 00:01:00,1520.74,1599.74,1421.34,1719.5400000000002,0.06536291542275477,0.07649597585513072,0.051948393545247606,0.003897347082494959,time,False
short,2022-09-09,2022-09-10 00:01:00,2022-09-11 05:50:00,1717.4,1773.81,1750.0,1652.2000000000003,0.018982182368696813,0.2634049079754609,-0.03284616280423891,-0.008915245398773017,stop,False
short,2022-09-12,2022-09-13 00:01:00,2022-09-15 22:35:00,1708.19,1539.16,1790.0,1544.5700000000002,0.047892798810436746,0.10439982887177614,0.09895269261616091,0.010226244346656888,target,False
long,2022-09-17,2022-09-18 00:01:00,2022-09-19 00:14:00,1442.5,1394.45,1405.0,1517.5,0.025996533795493933,0.19233333333333336,-0.03331022530329286,-0.006598999999999995,stop,False
long,2022-10-13,2022-10-14 00:01:00,2022-10-21 00:01:00,1257.47,1298.57,1180.0,1412.41,0.06160783159836817,0.08115851297276364,0.032684676373988975,0.0025714812185362017,time,False
short,2022-10-30,2022-10-31 00:01:00,2022-11-04 22:24:00,1586.96,1674.12,1665.0,1430.88,0.049175782628421615,0.10167606355715023,-0.0549226193476835,-0.005685991799077386,stop,False
short,2022-11-04,2022-11-05 00:01:00,2022-11-08 11:19:00,1628.85,1526.09,1680.0,1526.5499999999997,0.03140252325260159,0.15922287390029297,0.0630874543389508,0.00988574291300096,target,False
long,2022-11-10,2022-11-11 00:01:00,2022-11-18 00:01:00,1317.97,1195.12,1071.34,1811.2300000000002,0.18712869033437796,0.026719579937558274,-0.09321152985272818,-0.0025172925029396283,time,False
short,2022-12-15,2022-12-16 00:01:00,2022-12-23 00:01:00,1270.58,1186.19,1354.21,1103.3199999999997,0.06582033402068356,0.07596436685399965,0.06641848604574274,0.004969473873012059,time,False
long,2022-12-20,2022-12-21 00:01:00,2022-12-28 00:01:00,1217.0,1210.38,1150.0,1351.0,0.05505341002465078,0.09082089552238806,-0.005439605587510221,-0.0005848507462686522,time,False
short,2023-01-07,2023-01-08 00:01:00,2023-01-09 00:03:00,1264.0,1274.22,1277.83,1236.3400000000001,0.010941455696202473,0.3,-0.008085443037974649,-0.0027256329113923947,stop,False
short,2023-01-10,2023-01-11 00:01:00,2023-01-11 04:24:00,1333.47,1343.98,1344.49,1311.43,0.008264152924325243,0.3,-0.007881692126556983,-0.0026645076379670945,stop,False
short,2023-01-11,2023-01-12 00:01:00,2023-01-12 06:03:00,1322.69,1347.35,1348.46,1271.15,0.019483023232957065,0.2566336825766397,-0.018643824327695624,-0.005041266977105111,stop,False
short,2023-01-13,2023-01-14 00:01:00,2023-01-14 05:37:00,1420.86,1439.95,1440.92,1380.7399999999996,0.014118210098109717,0.3,-0.013435524963754553,-0.004330657489126365,stop,False
