sleeve,side,entry_time,exit_time,bars,days,gross_contribution,max_notional
swing_short,SHORT,2023-12-20 01:00:00,2023-12-20 22:45:00,87,0.90625,-0.0013229664312332013,0.04036131397808863
swing_short,SHORT,2024-01-28 23:00:00,2024-01-30 01:15:00,105,1.09375,-0.0006497829651396977,0.0465965852169558
swing_short,SHORT,2024-02-23 11:00:00,2024-02-25 10:30:00,190,1.9791666666666667,-0.0015375280240729873,0.04401738043565688
swing_short,SHORT,2024-03-07 11:45:00,2024-03-08 04:45:00,68,0.7083333333333334,-0.0015866238095596694,0.04026461334775929
swing_short,SHORT,2024-06-03 22:45:00,2024-06-06 02:00:00,205,2.1354166666666665,-0.0014797904872926259,0.09190786945955336
swing_short,SHORT,2024-07-17 16:15:00,2024-07-18 00:45:00,34,0.3541666666666667,0.0027758218293045204,0.10739456980003285
swing_short,SHORT,2024-09-24 07:30:00,2024-09-27 07:30:00,288,3.0,0.00024409578216028196,0.05935460340549322
swing_short,SHORT,2024-10-18 17:45:00,2024-10-18 23:45:00,24,0.25,-0.0014689058817098104,0.1180997873216244
swing_short,SHORT,2024-10-19 15:15:00,2024-10-20 22:15:00,124,1.2916666666666667,-0.002417003809246296,0.125
swing_short,SHORT,2024-10-26 01:45:00,2024-10-29 01:45:00,288,3.0,-0.00021222189482183036,0.057580137583419004
swing_short,SHORT,2024-11-13 10:30:00,2024-11-13 23:00:00,50,0.5208333333333334,-0.0015747671857806156,0.053453346503906735
swing_short,SHORT,2024-12-01 08:45:00,2024-12-01 23:45:00,60,0.625,-0.0011585077450583456,0.10994326922259764
swing_short,SHORT,2024-12-02 16:30:00,2024-12-04 23:00:00,218,2.2708333333333335,-0.0016088540806008704,0.0357901179560316
swing_short,SHORT,2025-01-06 16:45:00,2025-01-06 23:00:00,25,0.2604166666666667,-0.0010931275255915956,0.08583955205023881
swing_short,SHORT,2025-04-27 12:45:00,2025-04-30 12:45:00,288,3.0,-0.00020634195626275135,0.04572560581993312
swing_short,SHORT,2025-05-02 12:45:00,2025-05-02 16:15:00,14,0.14583333333333334,0.001433579393233117,0.125
