variant,expiry_minutes,target_r,year,n_placed,n_filled,fill_rate,win_rate_15bp,avg_gross_r,median_gross_r,avg_net_r_11bp,avg_net_r_15bp,avg_net_r_20bp,profit_factor_15bp,t_stat_15bp
V3_clearer_micro,30,2.0,2023,1343,1183,0.8808637379002234,0.32713440405748095,0.008193459127051127,-0.9999999999999751,-0.6057098609455567,-0.8289474318810504,-1.1079943955504175,0.3047238513871225,-13.982885632673634
V3_clearer_micro,30,2.0,2024,938,826,0.8805970149253731,0.3498789346246973,0.005012059454682747,-0.9999999999999867,-0.3369469170804154,-0.4612956358204511,-0.6167315342454956,0.5076084208780162,-9.383061489508835
V3_clearer_micro,30,2.0,2025,1086,965,0.8885819521178637,0.36683937823834195,0.0459661873818815,-0.9999999999999882,-0.2473312970572931,-0.3539849277624475,-0.4873019661438905,0.5908339966391903,-7.903743308456629
V3_clearer_micro,30,2.0,2026,743,651,0.8761776581426649,0.34101382488479265,0.0008609719865518735,-0.9999999999999846,-0.3541168550937924,-0.48319970130482676,-0.6445532590686195,0.4837975487590613,-8.832539093136944
V3_clearer_micro,30,2.0,ALL,4110,3625,0.8819951338199513,0.3453793103448276,0.016207086025829064,-0.9999999999999841,-0.4038835016092037,-0.5566437152946703,-0.7475939824015032,0.44389506062040096,-20.34706469716584
V3_clearer_micro,60,1.0,2023,1343,1234,0.9188384214445272,0.36628849270664504,0.018840364372040386,0.23857612408929074,-0.5968022273788526,-0.8206722607428135,-1.100509802447765,0.17842289496824895,-16.029468029382883
V3_clearer_micro,60,1.0,2024,938,857,0.9136460554371002,0.4539089848308051,-0.026207261303097102,-0.780628608082113,-0.36672642709387515,-0.4905515782905217,-0.6453330172863299,0.3533286331911484,-13.617298421049046
V3_clearer_micro,60,1.0,2025,1086,1007,0.927255985267035,0.4766633565044687,-0.0011529684765910308,0.051641313050449306,-0.29207219955962577,-0.3978610108625475,-0.5300970249911996,0.42780628838883444,-12.287332628425755
V3_clearer_micro,60,1.0,2026,743,683,0.9192462987886945,0.4333821376281113,-0.02143421059771972,-0.2904214559386838,-0.37941609653443725,-0.5095913277841527,-0.672310366846297,0.3312666706183919,-12.66994305173329
V3_clearer_micro,60,1.0,ALL,4110,3781,0.9199513381995134,0.42766463898439566,-0.003970171487920154,-0.00685602350635286,-0.42422544181288513,-0.5770455401128726,-0.7680706629878565,0.29696151755571004,-26.31782275491328
V3_clearer_micro,60,1.5,2023,1343,1234,0.9188384214445272,0.36142625607779577,0.0063428348924530545,-0.9999999999999644,-0.60929975685844,-0.8331697902224009,-1.1130073319273524,0.2521820715583037,-15.262051680112442
V3_clearer_micro,60,1.5,2024,938,857,0.9136460554371002,0.39556592765460913,-0.015484486427445989,-0.9999999999999818,-0.3560036522182241,-0.47982880341487066,-0.6346102424106788,0.4464928560082388,-11.29923369708326
V3_clearer_micro,60,1.5,2025,1086,1007,0.927255985267035,0.41112214498510424,0.021196096746972887,-0.9999999999999836,-0.2697231343360619,-0.3755119456389836,-0.5077479597676358,0.5299327737059545,-9.7496493495251
V3_clearer_micro,60,1.5,2026,743,683,0.9192462987886945,0.3689604685212299,-0.04601558851172313,-0.9999999999999798,-0.4039974744484407,-0.5341727056981561,-0.6968917447603004,0.4002362048700655,-11.320509535909562
V3_clearer_micro,60,1.5,ALL,4110,3781,0.9199513381995134,0.383760909812219,-0.004106671288108795,-0.9999999999999758,-0.42436194161307383,-0.5771820399130612,-0.7682071627880452,0.3818669362527329,-23.628028214926665
V3_clearer_micro,60,2.0,2023,1343,1234,0.9188384214445272,0.3233387358184765,0.0018184113519600761,-0.9999999999999749,-0.6138241803989328,-0.837694213762894,-1.1175317554678452,0.30121475885378046,-14.560572590305554
V3_clearer_micro,60,2.0,2024,938,857,0.9136460554371002,0.34305717619603265,-0.012069876432606758,-0.9999999999999871,-0.35258904222338483,-0.47641419342003144,-0.6311956324158395,0.4954083618742408,-9.91891513758404
V3_clearer_micro,60,2.0,2025,1086,1007,0.927255985267035,0.36643495531281034,0.04410290938348292,-0.9999999999999878,-0.24681632169955184,-0.3526051330024736,-0.48484114713112575,0.5919818779036446,-8.04547540507468
V3_clearer_micro,60,2.0,2026,743,683,0.9192462987886945,0.3440702781844802,0.011463545410108415,-0.9999999999999841,-0.34651834052660907,-0.4766935717763245,-0.6394126108384688,0.4880840023648274,-8.928223395736183
V3_clearer_micro,60,2.0,ALL,4110,3781,0.9199513381995134,0.3430309441946575,0.011674495310723646,-0.9999999999999841,-0.40858077501424134,-0.5614008733142286,-0.7524259961892127,0.4406246308746956,-21.064982156072965
V3_clearer_micro,180,1.0,2023,1343,1289,0.9597915115413254,0.365399534522886,0.01881226503886586,0.24131082423036015,-0.602402152871043,-0.8282983048382828,-1.1106684947973322,0.1754721210709239,-16.706532403191762
V3_clearer_micro,180,1.0,2024,938,892,0.9509594882729211,0.452914798206278,-0.026228086841611965,-0.6928254516589851,-0.36572626299445765,-0.4891801452318561,-0.6434974980286041,0.35418483519844934,-13.876745294889982
